Date,Transmit,bandwidth,Receive
17-02-2015,106.7410523,117.9276669,129.1142814
18-02-2015,107.842423,118.9403335,130.0382439
19-02-2015,108.8942449,119.8891668,130.8840887
20-02-2015,109.7854494,120.7635001,131.7415509
23-02-2015,110.3725162,121.7201668,133.0678174
24-02-2015,111.0948689,122.6648335,134.2347981
25-02-2015,113.2119183,123.6296667,134.0474151
26-02-2015,114.1652991,124.2823333,134.3993674
27-02-2015,114.9668484,124.8426669,134.7184854
02-03-2015,115.8770904,125.4036668,134.9302432
03-03-2015,116.9535132,125.9551669,134.9568205
04-03-2015,118.0874253,126.4730002,134.8585751
05-03-2015,119.1048311,126.848667,134.5925029
06-03-2015,120.190797,127.2288335,134.26687
09-03-2015,121.6289771,127.631167,133.6333568
10-03-2015,123.1164763,127.9235004,132.7305246
11-03-2015,123.592756,128.0033337,132.4139113
12-03-2015,123.4894559,127.9813337,132.4732114
13-03-2015,123.045606,127.8490003,132.6523946
16-03-2015,122.6967016,127.7283335,132.7599655
17-03-2015,122.616033,127.6680002,132.7199674
18-03-2015,122.6064498,127.652167,132.6978842
19-03-2015,122.5939029,127.6245004,132.6550979
20-03-2015,122.4865925,127.4980004,132.5094083
23-03-2015,122.6741703,127.2633335,131.8524968
24-03-2015,123.0410183,127.0025001,130.9639818
25-03-2015,122.8276392,126.7531667,130.6786943
26-03-2015,122.5538523,126.4835001,130.4131478
27-03-2015,122.2826504,126.2099998,130.1373491
30-03-2015,122.346906,126.0283332,129.7097604
31-03-2015,122.395242,125.8334998,129.2717577
01-04-2015,122.3761274,125.6009999,128.8258723
02-04-2015,122.3330336,125.5034998,128.673966
06-04-2015,122.374816,125.4528332,128.5308505
07-04-2015,122.4030622,125.4251665,128.4472708
08-04-2015,122.4277133,125.4491664,128.4706195
09-04-2015,122.7775359,125.5938332,128.4101305
10-04-2015,123.0398914,125.7369999,128.4341085
13-04-2015,123.272819,125.9113334,128.5498477
14-04-2015,123.487134,126.0235002,128.5598665
15-04-2015,123.4871301,126.0220001,128.5568702
16-04-2015,123.5664037,125.945,128.3235962
17-04-2015,123.6022692,125.7983332,127.9943973
20-04-2015,123.5867451,125.8221664,128.0575877
21-04-2015,123.5817266,125.8254998,128.069273
22-04-2015,123.5019782,125.8674998,128.2330214
23-04-2015,123.3716821,126.1116665,128.8516508
24-04-2015,123.3764705,126.4186666,129.4608626
27-04-2015,123.128271,126.8531664,130.5780619
28-04-2015,122.9533691,127.1514997,131.3496302
29-04-2015,123.165847,127.372333,131.578819
30-04-2015,123.4832179,127.4706663,131.4581147
01-05-2015,123.7928685,127.6258331,131.4587977
04-05-2015,123.9186426,127.764833,131.6110235
05-05-2015,123.91582,127.7634997,131.6111794
06-05-2015,123.8088193,127.7326664,131.6565135
07-05-2015,123.6785663,127.6919997,131.705433
08-05-2015,123.7345408,127.7216665,131.7087922
11-05-2015,123.6599205,127.6796663,131.6994121
12-05-2015,123.5804905,127.6474995,131.7145084
13-05-2015,123.5504423,127.633333,131.7162236
14-05-2015,123.6706007,127.7279997,131.7853986
15-05-2015,124.0144574,127.9133333,131.8122092
18-05-2015,124.100497,128.0530002,132.0055033
19-05-2015,124.1588765,128.1998337,132.2407909
20-05-2015,124.1850087,128.3093337,132.4336587
21-05-2015,124.1273816,128.3863339,132.6452861
22-05-2015,123.9598963,128.499167,133.0384377
26-05-2015,124.1087609,128.411167,132.7135731
27-05-2015,124.1188009,128.4058336,132.6928663
28-05-2015,124.0226213,128.5108337,132.999046
29-05-2015,124.300709,128.7318334,133.1629579
01-06-2015,124.3594994,128.8584999,133.3575004
02-06-2015,124.3747459,128.8986669,133.4225879
03-06-2015,124.6367699,129.0808335,133.524897
04-06-2015,125.2683798,129.3096669,133.3509539
05-06-2015,125.9332746,129.4986668,133.064059
08-06-2015,126.0685551,129.5401669,133.0117786
09-06-2015,126.1824915,129.5670003,132.9515092
10-06-2015,126.7463818,129.708667,132.6709521
11-06-2015,127.2892578,129.845,132.4007421
12-06-2015,127.131001,129.8041667,132.4773323
15-06-2015,126.7060981,129.6941663,132.6822346
16-06-2015,126.4016896,129.5699996,132.7383095
17-06-2015,126.1238847,129.4254994,132.727114
18-06-2015,125.9515598,129.3093328,132.6671058
19-06-2015,125.6885656,129.1088327,132.5290998
22-06-2015,125.7264205,128.8728329,132.0192453
23-06-2015,125.5733485,128.7039996,131.8346507
24-06-2015,125.6811976,128.5486666,131.4161355
25-06-2015,125.8677152,128.3714998,130.8752844
26-06-2015,125.8452624,128.1985,130.5517375
29-06-2015,125.5007067,127.9235001,130.3462935
30-06-2015,125.2434909,127.6979999,130.1525088
01-07-2015,125.319636,127.5075,129.6953639
02-07-2015,125.3221027,127.3416666,129.3612304
06-07-2015,125.172968,127.1813333,129.1896986
07-07-2015,124.8939059,127.0441664,129.194427
08-07-2015,124.1418974,126.8546664,129.5674354
09-07-2015,122.9127426,126.4759997,130.0392568
10-07-2015,122.4632754,126.1608332,129.8583911
13-07-2015,122.3846331,126.0463333,129.7080335
14-07-2015,122.343664,125.9988335,129.6540029
15-07-2015,122.3439159,125.9610002,129.5780846
16-07-2015,122.3059902,126.0028336,129.699677
17-07-2015,122.1959647,126.0718335,129.9477023
20-07-2015,121.6892041,126.3205002,130.9517963
21-07-2015,121.4079709,126.5078336,131.6076963
22-07-2015,121.1778138,126.3610003,131.5441868
23-07-2015,121.1251692,126.2323335,131.3394978
24-07-2015,120.989315,126.0646669,131.1400187
27-07-2015,120.6120011,125.8521669,131.0923327
28-07-2015,120.4054683,125.7581669,131.1108655
29-07-2015,120.1369622,125.6306668,131.1243713
30-07-2015,119.7438845,125.4160002,131.0881158
31-07-2015,119.2924998,125.1818336,131.0711674
03-08-2015,118.4943027,124.8726669,131.2510311
04-08-2015,116.7313042,124.3723335,132.0133628
05-08-2015,115.2932316,123.9588335,132.6244354
06-08-2015,114.2686043,123.6655002,133.0623961
07-08-2015,113.2383284,123.2976669,133.3570053
10-08-2015,112.7672569,122.9726667,133.1780766
11-08-2015,111.7495121,122.439,133.1284878
12-08-2015,110.5837964,121.7846665,132.9855365
13-08-2015,110.0107495,121.1456666,132.2805836
14-08-2015,109.7007656,120.4578334,131.2149012
17-08-2015,110.2193367,119.7006668,129.1819968
18-08-2015,111.057582,118.9666667,126.8757514
19-08-2015,110.8596081,118.5250001,126.190392
20-08-2015,110.6016943,117.8803334,125.1589724
21-08-2015,109.2092545,117.0331668,124.8570791
24-08-2015,105.9911026,115.9568336,125.9225645
25-08-2015,104.8512275,115.0986668,125.3461062
26-08-2015,104.3580548,114.363167,124.3682792
27-08-2015,104.4853754,113.8553335,123.2252916
28-08-2015,104.7374169,113.4101667,122.0829165
